Date,Open,High,Low,Close,Volume
13-Oct-14,113.55,114.59,111.85,112.03,7803960
10-Oct-14,114.70,115.73,112.88,113.89,9258246
9-Oct-14,117.02,117.08,114.24,114.51,11489228
8-Oct-14,115.83,118.25,115.15,117.95,9523621
7-Oct-14,117.47,118.43,116.00,116.02,7309332
6-Oct-14,117.91,119.05,117.28,118.09,5410741
3-Oct-14,118.16,118.16,116.40,117.71,6298350
2-Oct-14,117.39,117.90,116.13,117.11,8171219
1-Oct-14,118.80,119.35,117.38,117.65,8034916
30-Sep-14,120.51,120.51,118.66,119.32,8385747
29-Sep-14,120.72,120.74,119.14,120.55,6794683
26-Sep-14,120.55,122.04,120.02,121.47,5506425
25-Sep-14,122.20,122.61,120.68,120.68,6466253
24-Sep-14,123.07,123.07,120.85,122.40,8009122
23-Sep-14,123.53,123.98,122.86,123.06,5620724
22-Sep-14,124.60,124.92,123.47,123.49,5850510
19-Sep-14,124.94,125.70,124.64,124.80,10089985
18-Sep-14,124.85,125.04,123.85,124.14,4691243
17-Sep-14,125.13,125.49,124.45,124.72,4583452
16-Sep-14,124.06,125.68,123.61,124.96,6592111
15-Sep-14,122.35,124.78,122.06,124.24,5445646
12-Sep-14,123.54,123.66,122.21,122.66,4924475
11-Sep-14,123.28,124.07,122.41,123.83,6570215
10-Sep-14,124.46,124.74,123.01,124.28,10949804
9-Sep-14,124.49,125.79,124.26,125.18,6729901
8-Sep-14,126.68,126.75,125.69,126.21,4209166
5-Sep-14,127.15,127.44,126.16,127.40,5038730
4-Sep-14,128.21,128.46,126.20,126.80,5199719
3-Sep-14,128.45,128.88,127.67,127.86,3846795
2-Sep-14,129.20,129.38,127.06,127.54,4749550
29-Aug-14,129.00,129.53,128.50,129.45,3523273
28-Aug-14,128.28,128.90,128.25,128.75,2409000
27-Aug-14,128.41,128.82,128.19,128.64,2767034
26-Aug-14,128.06,128.71,127.94,128.25,2832412
25-Aug-14,127.57,128.07,127.38,127.84,2645710
22-Aug-14,127.02,127.50,126.47,127.11,3237050
21-Aug-14,127.68,128.18,127.18,127.93,2675933
20-Aug-14,127.25,127.60,126.78,127.49,3230292
19-Aug-14,126.72,127.70,126.55,127.63,3893506
18-Aug-14,126.27,126.59,125.63,126.30,4630044
15-Aug-14,126.42,126.79,125.68,126.10,5754674
14-Aug-14,127.68,127.70,126.53,126.96,4523969
13-Aug-14,127.64,128.24,126.87,127.60,3518241
12-Aug-14,127.14,127.28,126.26,127.09,4944155
11-Aug-14,128.16,128.67,127.54,127.71,3466541
8-Aug-14,126.07,127.96,125.91,127.86,4738871
7-Aug-14,126.19,126.73,124.83,125.65,4650702
6-Aug-14,124.90,126.97,124.80,125.73,5137980
5-Aug-14,127.81,127.81,124.58,124.96,8072084
4-Aug-14,127.69,128.36,126.03,128.17,7360036
1-Aug-14,127.76,128.96,126.36,127.90,7377853
31-Jul-14,131.73,131.97,129.10,129.24,7974203
30-Jul-14,132.97,133.69,131.50,132.53,4601818
29-Jul-14,132.90,133.72,132.42,132.42,4189062
28-Jul-14,133.56,133.80,132.89,133.24,4625241
25-Jul-14,134.58,134.61,133.06,133.57,3706926
24-Jul-14,134.03,135.10,133.69,134.85,5340621
23-Jul-14,132.70,133.93,132.48,133.88,4589473
22-Jul-14,131.55,133.20,131.55,132.58,4391784
21-Jul-14,130.11,131.34,130.01,131.29,3719336
18-Jul-14,130.64,130.73,129.58,130.39,4339481
17-Jul-14,130.64,131.50,129.88,130.08,4961188
16-Jul-14,129.89,130.94,129.69,130.89,4499463
15-Jul-14,129.07,129.50,128.61,129.26,4845041
14-Jul-14,128.80,129.50,128.38,129.26,4135861
11-Jul-14,129.13,129.89,128.03,128.47,5248059
10-Jul-14,130.48,130.86,129.90,130.25,4405007
9-Jul-14,130.27,131.69,129.99,131.39,5203960
8-Jul-14,129.70,130.38,129.52,129.90,4687818
7-Jul-14,130.44,130.64,130.02,130.47,3659977
3-Jul-14,131.44,131.59,130.72,131.19,3513987
2-Jul-14,130.53,130.92,129.99,130.23,5137137
1-Jul-14,130.94,131.42,130.46,130.54,4001310
30-Jun-14,130.15,130.63,129.37,130.55,5708219
27-Jun-14,130.73,130.94,129.30,130.36,8674870
26-Jun-14,131.21,131.22,129.53,130.92,6111572
25-Jun-14,131.34,132.36,131.01,131.23,6714259
24-Jun-14,132.74,133.46,131.71,131.77,8581147
23-Jun-14,132.52,133.57,132.42,132.98,11010250
20-Jun-14,131.95,132.40,130.88,132.34,11350979
19-Jun-14,130.29,132.00,129.91,131.99,7425763
18-Jun-14,128.96,130.50,128.36,130.28,7703901
17-Jun-14,127.90,129.04,127.57,128.83,6721037
16-Jun-14,127.15,128.80,127.14,128.54,7074254
13-Jun-14,125.94,127.26,125.90,127.26,5578790
12-Jun-14,125.73,126.23,125.42,126.11,6815809
11-Jun-14,125.13,125.47,124.62,125.18,4570851
10-Jun-14,124.98,125.37,124.15,125.34,5877350
9-Jun-14,124.01,124.64,123.88,124.37,3660777
6-Jun-14,123.70,124.70,123.54,124.19,4295422
5-Jun-14,122.53,123.78,122.46,123.52,4225026
4-Jun-14,122.32,122.68,122.00,122.35,3285543
3-Jun-14,122.39,122.82,121.72,122.55,3563774
2-Jun-14,122.93,123.04,122.01,122.21,3689833
30-May-14,122.24,122.88,122.01,122.79,5166981
29-May-14,122.89,122.90,121.65,122.32,6255073
28-May-14,122.90,123.31,122.52,122.52,4705743
27-May-14,123.76,123.99,122.75,122.84,4287468
23-May-14,124.10,124.36,123.33,123.37,3811307
22-May-14,124.10,124.41,123.56,123.63,3262734
21-May-14,123.00,124.36,122.94,124.16,4758794
20-May-14,122.95,123.10,122.24,122.50,4044716
19-May-14,122.95,123.42,122.85,122.95,4045979
16-May-14,123.96,124.35,122.89,123.18,6435090
15-May-14,125.17,125.50,123.55,123.81,5942941
14-May-14,126.14,126.78,125.76,126.42,4961548
13-May-14,125.57,125.99,124.97,125.85,4415213
12-May-14,125.57,125.57,124.63,125.24,4914743
9-May-14,125.39,126.07,124.64,125.03,4826142
8-May-14,125.70,126.13,124.87,125.09,5010009
7-May-14,125.95,126.78,125.64,126.23,5436267
6-May-14,125.00,125.69,124.52,124.97,5600010
5-May-14,124.82,125.85,124.34,125.36,4224353
2-May-14,123.90,125.80,123.58,124.72,5406091
1-May-14,125.66,125.76,124.28,124.94,6380335
30-Apr-14,125.76,125.98,125.31,125.52,6129242
29-Apr-14,125.92,127.27,125.76,125.97,6666828
28-Apr-14,124.26,126.06,124.25,125.73,7687848
25-Apr-14,124.23,124.70,123.58,123.99,5778653
24-Apr-14,124.84,124.92,124.14,124.30,5185910
23-Apr-14,124.19,124.96,124.19,124.69,5596357
22-Apr-14,123.87,124.35,123.61,124.00,5851778
21-Apr-14,123.05,124.40,123.05,124.24,6351118
17-Apr-14,121.72,123.85,121.72,123.68,8604891
16-Apr-14,120.90,122.12,120.90,121.83,7277495
15-Apr-14,118.71,120.31,118.34,120.30,7681867
14-Apr-14,117.84,118.83,117.34,118.70,6819190
11-Apr-14,116.50,117.73,116.50,117.03,7028942
10-Apr-14,117.20,118.06,116.55,116.69,8769453
9-Apr-14,117.83,119.25,117.59,119.10,5377587
8-Apr-14,117.66,118.31,117.18,117.80,4711840
7-Apr-14,118.32,118.82,117.34,117.34,5241259
4-Apr-14,119.75,119.75,118.59,118.80,5301335
3-Apr-14,119.78,119.79,118.88,119.04,4448768
2-Apr-14,118.52,119.54,118.52,119.35,4505559
1-Apr-14,119.15,119.61,118.84,119.00,5391435
31-Mar-14,118.79,119.62,118.48,118.91,5482812
28-Mar-14,118.13,118.55,117.70,118.50,5875099
27-Mar-14,117.75,117.99,116.83,117.67,5224576
26-Mar-14,117.80,118.28,117.36,117.71,5972009
25-Mar-14,116.23,117.19,116.21,117.09,5573789
24-Mar-14,116.00,116.69,115.65,115.85,5386996
21-Mar-14,116.29,118.00,115.58,115.63,14894127
20-Mar-14,114.85,116.08,114.32,115.51,5280578
19-Mar-14,115.88,116.74,114.66,115.20,5569641
18-Mar-14,115.62,116.56,115.20,116.24,6329618
17-Mar-14,114.26,115.29,114.13,115.07,5895674
14-Mar-14,114.36,114.90,113.68,114.10,6290005
13-Mar-14,115.60,115.75,114.12,114.45,5405112
12-Mar-14,114.14,116.36,114.13,115.65,6821466
11-Mar-14,115.90,116.23,114.24,114.51,6274518
10-Mar-14,115.45,115.94,114.12,115.84,6203531
7-Mar-14,115.07,115.95,114.64,115.08,5055612
6-Mar-14,114.71,115.15,114.35,114.85,5179876
5-Mar-14,115.08,115.26,114.01,114.43,6704008
4-Mar-14,115.89,116.27,115.26,115.32,5612688
3-Mar-14,114.79,116.19,114.26,114.84,6046777
28-Feb-14,115.87,116.74,114.81,115.33,6947143
27-Feb-14,115.66,115.82,114.56,115.69,4923905
26-Feb-14,114.82,115.86,114.40,115.51,6114023
25-Feb-14,114.37,115.44,114.24,114.97,5976339
24-Feb-14,113.37,115.00,113.05,114.15,7348553
21-Feb-14,114.72,114.74,112.60,112.68,9222025
20-Feb-14,113.51,115.33,113.10,114.60,8408726
19-Feb-14,112.55,115.05,112.47,113.60,7993616
18-Feb-14,113.86,114.11,112.60,112.71,6111613
14-Feb-14,112.58,113.83,111.59,113.48,6787514
13-Feb-14,111.73,112.74,111.18,112.51,5064114
12-Feb-14,112.89,112.89,111.81,112.03,6436077
11-Feb-14,112.03,113.87,111.95,113.58,6880829
10-Feb-14,112.47,112.47,111.08,111.69,9251748
7-Feb-14,111.91,112.12,110.39,112.05,7109393
6-Feb-14,110.11,111.35,109.91,111.27,7989804
5-Feb-14,111.00,111.00,109.27,109.52,10571392
4-Feb-14,111.86,112.04,110.49,110.83,9718823
3-Feb-14,112.35,112.46,110.54,111.14,11280034
31-Jan-14,113.90,113.90,111.11,111.63,15531717
30-Jan-14,116.31,116.96,115.18,116.45,5539663
