Date,Open,High,Low,Close,Volume
24-Mar-14,96.12,96.48,94.23,94.80,3461646
21-Mar-14,95.96,96.58,94.69,95.82,5331708
20-Mar-14,93.81,95.28,93.04,95.16,4022466
19-Mar-14,94.68,94.72,93.02,93.76,3165092
18-Mar-14,93.70,95.26,93.59,94.58,3165938
17-Mar-14,93.30,94.00,93.00,93.62,2722320
14-Mar-14,91.48,93.10,91.45,92.98,3178352
13-Mar-14,93.12,93.32,90.88,91.46,3764290
12-Mar-14,91.80,93.22,90.83,92.56,4087848
11-Mar-14,94.92,95.08,92.66,92.80,4103660
10-Mar-14,94.96,94.96,93.56,94.52,2759232
7-Mar-14,95.76,95.98,94.10,94.96,3917102
6-Mar-14,95.36,96.10,94.66,95.53,3450578
5-Mar-14,96.02,96.61,95.02,95.24,3900792
4-Mar-14,95.24,96.46,95.16,95.78,4266520
3-Mar-14,94.52,96.00,94.31,94.64,5608452
28-Feb-14,93.86,95.54,93.56,94.71,5077904
27-Feb-14,93.20,93.82,92.24,93.74,3779670
26-Feb-14,91.80,94.20,91.44,93.22,7214394
25-Feb-14,91.42,92.56,89.62,92.00,7465912
24-Feb-14,89.22,90.81,88.52,90.20,7074362
21-Feb-14,90.24,90.48,88.97,89.00,5411032
20-Feb-14,89.52,91.03,89.08,90.02,4511960
19-Feb-14,89.52,90.80,89.20,89.43,3834990
18-Feb-14,89.06,90.13,89.00,89.96,3654694
14-Feb-14,87.86,88.62,87.44,88.48,2340546
13-Feb-14,86.79,88.38,86.30,87.74,3432632
12-Feb-14,87.88,88.45,87.24,87.56,2588172
11-Feb-14,87.15,88.10,86.78,87.36,3299190
10-Feb-14,88.38,88.38,86.54,87.10,3538252
7-Feb-14,87.38,88.44,86.57,88.25,4184512
6-Feb-14,83.84,86.90,83.84,86.62,5142174
5-Feb-14,84.05,84.85,83.38,83.74,4293062
4-Feb-14,81.34,84.50,81.25,84.29,6577434
3-Feb-14,82.30,83.43,80.75,80.87,4528920
31-Jan-14,82.34,83.80,81.59,82.62,2639566
30-Jan-14,82.55,83.75,82.32,83.06,2262924
29-Jan-14,82.96,83.08,81.77,82.32,3280418
28-Jan-14,81.69,83.75,81.14,83.61,3292674
27-Jan-14,82.58,82.74,80.63,81.05,3809822
24-Jan-14,84.02,84.52,82.56,82.76,5653078
23-Jan-14,84.89,85.87,84.12,84.58,4482806
22-Jan-14,85.10,86.15,84.62,85.86,3588544
21-Jan-14,84.58,85.28,84.07,84.62,3195084
17-Jan-14,85.48,85.94,84.46,84.48,3325724
16-Jan-14,85.05,85.58,84.35,85.05,3342482
15-Jan-14,84.73,86.64,84.70,85.18,4088860
14-Jan-14,82.03,84.36,81.82,84.30,3221976
13-Jan-14,83.70,84.14,81.48,81.73,2672664
10-Jan-14,83.73,84.05,83.00,83.40,2949798
9-Jan-14,83.70,84.44,82.74,83.50,3539336
8-Jan-14,83.01,83.92,82.52,83.39,2857880
7-Jan-14,82.54,83.46,81.85,83.42,3287000
6-Jan-14,82.38,82.66,81.17,82.01,3649192
3-Jan-14,82.88,83.32,81.91,82.28,2693750
2-Jan-14,83.28,83.98,82.03,82.51,2944140
